name,wgms_id,rgi_id,cenlon,cenlat,rgi_reg_name,imageid,targetmonth,imagedate,cloudcover,cloudpct_roi,snowcoverarea_km2_gee,snowcoverarea_error_km2,totalarea_km2_gee,totalarea_error_km2,aar_gee,snowline_m_gee,snowline_error_m,bimodalok,rejectionreason,classbalance,peakbalance
Alfotbreen,317,RGI2000-v7.0-G-08-01852,5.644,61.747,08: Scandinavia,LC08_L2SP_202017_20200812_20200919_02_T1,9,8/12/20,11.21,8.122748755,3.734826759,0.261437873,4.02485394,0.120745618,0.927940943,1044.895642,10.44895642,0,secondary_peak_too_small,0.069593255,0.069361736
Alfotbreen,317,RGI2000-v7.0-G-08-01852,5.644,61.747,08: Scandinavia,LC09_L2SP_201017_20220920_20230328_02_T1,9,9/20/22,3.56,18.43739665,2.964871995,0.20754104,3.475922685,0.104277681,0.852974092,1135.182159,11.35182159,0,secondary_peak_too_small,0.146589771,0.060364214
Alfotbreen,317,RGI2000-v7.0-G-08-01852,5.644,61.747,08: Scandinavia,LE07_L2SP_202017_20010917_20200917_02_T1,9,9/17/01,18,2.893082489,2.377969047,0.166457833,4.145464412,0.124363932,0.573631519,1193.122167,11.93122167,1,ok,0.422502518,0.422234554
Alfotbreen,317,RGI2000-v7.0-G-08-01852,5.644,61.747,08: Scandinavia,LE07_L2SP_202017_20020803_20200916_02_T1,9,8/3/02,10,2.960692164,3.149666268,0.220476639,4.169971239,0.125099137,0.755320861,1125.074496,11.25074496,1,ok,0.240604646,0.284210526
Alfotbreen,317,RGI2000-v7.0-G-08-01852,5.644,61.747,08: Scandinavia,LT05_L2SP_201017_19960920_20200911_02_T1,9,9/20/96,3,1.9520967,1.506146535,0.105430257,4.139927024,0.124197811,0.363809924,1254.86588,12.5486588,1,ok,0.365105116,0.56
Alfotbreen,317,RGI2000-v7.0-G-08-01852,5.644,61.747,08: Scandinavia,LT05_L2SP_202017_19900810_20200915_02_T1,9,8/10/90,2,1.601390544,3.37384683,0.236169278,4.157515661,0.12472547,0.811505501,1100.944176,11.00944176,1,ok,0.170815989,0.342356799
Alfotbreen,317,RGI2000-v7.0-G-08-01852,5.644,61.747,08: Scandinavia,LT05_L2SP_202017_19930919_20200913_02_T1,9,9/19/93,2,1.012078824,3.057995108,0.214059658,4.171126648,0.125133799,0.733134082,1135.158968,11.35158968,1,ok,0.257057028,0.348527203
Alfotbreen,317,RGI2000-v7.0-G-08-01852,5.644,61.747,08: Scandinavia,LT05_L2SP_202017_19950909_20200912_02_T1,9,9/9/95,7,1.065720241,3.454711706,0.241829819,4.169554313,0.125086629,0.828556591,1092.916052,10.92916052,1,ok,0.166890415,0.274215886
Alfotbreen,317,RGI2000-v7.0-G-08-01852,5.644,61.747,08: Scandinavia,LT05_L2SP_202017_19970813_20200910_02_T1,9,8/13/97,4,1.141843116,3.906332043,0.273443243,4.178094908,0.125342847,0.934955316,1017.260191,10.17260191,0,secondary_peak_too_small,0.06406837,0.03428387
Alfotbreen,317,RGI2000-v7.0-G-08-01852,5.644,61.747,08: Scandinavia,LT05_L2SP_202017_19991006_20200907_02_T1,9,10/6/99,2,1.178375483,2.233712597,0.156359882,4.16613502,0.124984051,0.536159435,1205.103581,12.05103581,1,ok,0.455855259,0.943425312
Alfotbreen,317,RGI2000-v7.0-G-08-01852,5.644,61.747,08: Scandinavia,LT05_L2SP_202017_20100902_20200823_02_T1,9,9/2/10,1,8.794795543,2.237144741,0.156600132,3.895875251,0.116876258,0.574234183,1202.939254,12.02939254,1,ok,0.424945379,0.812533192
Allalin,394,RGI2000-v7.0-G-11-01182,7.90949,46.0336,11: Central Europe,LC08_L2SP_194028_20171015_20200902_02_T1,9,10/15/17,1.72,12.10731488,4.068409464,0.284788662,7.955837485,0.238675125,0.511374129,3323.921963,33.23921963,1,ok,0.484497802,0.978138578
Allalin,394,RGI2000-v7.0-G-11-01182,7.90949,46.0336,11: Central Europe,LC08_L2SP_195028_20220918_20220928_02_T1,9,9/18/22,4.24,16.6402965,3.976766562,0.278373659,8.247422196,0.247422666,0.482182974,3372.51203,33.7251203,1,ok,0.488052221,0.935264992
Allalin,394,RGI2000-v7.0-G-11-01182,7.90949,46.0336,11: Central Europe,LC09_L2SP_195028_20230929_20231002_02_T1,9,9/29/23,1.76,13.82307688,3.757685704,0.263037999,7.497214754,0.224916443,0.501210893,3387.959247,33.87959247,1,ok,0.494665102,0.882352941
Allalin,394,RGI2000-v7.0-G-11-01182,7.90949,46.0336,11: Central Europe,LT05_L2SP_195028_19870918_20211115_02_T1,9,9/18/87,8,20.5339241,5.031484933,0.352203945,8.447897342,0.25343692,0.595590208,3291.882884,32.91882884,1,ok,0.401303806,0.905333333
Allalin,394,RGI2000-v7.0-G-11-01182,7.90949,46.0336,11: Central Europe,LT05_L2SP_194028_19910906_20200915_02_T1,9,9/6/91,4,7.486867103,4.152073919,0.290645174,9.204542257,0.276136268,0.451089669,3363.861693,33.63861693,1,ok,0.454289949,0.8
Allalin,394,RGI2000-v7.0-G-11-01182,7.90949,46.0336,11: Central Europe,LC08_L2SP_195028_20181025_20200830_02_T1,9,10/25/18,7.44,7.630971736,5.114272246,0.357999057,8.131587405,0.243947622,0.628938975,3235.975527,32.35975527,1,ok,0.363563911,0.819354839
Allalin,394,RGI2000-v7.0-G-11-01182,7.90949,46.0336,11: Central Europe,LT05_L2SP_195028_20100901_20200823_02_T1,9,9/1/10,3,9.537235565,5.749967041,0.402497693,9.326991815,0.279809754,0.616486768,3260.05712,32.6005712,1,ok,0.373901513,0.762313657
Allalin,394,RGI2000-v7.0-G-11-01182,7.90949,46.0336,11: Central Europe,LT05_L2SP_194028_20110913_20200820_02_T1,9,9/13/11,2,12.44019139,3.601396103,0.252097727,8.428433089,0.252852993,0.427291297,3420.182616,34.20182616,1,ok,0.429309843,0.460606061
Allalin,394,RGI2000-v7.0-G-11-01182,7.90949,46.0336,11: Central Europe,LT05_L2SP_195028_20030914_20200904_02_T1,9,9/14/03,5,6.740982908,6.270870598,0.438960942,9.415064504,0.282451935,0.666046483,3228.08548,32.2808548,1,ok,0.324432387,0.749174198
Allalin,394,RGI2000-v7.0-G-11-01182,7.90949,46.0336,11: Central Europe,LT05_L2SP_195028_19900910_20200915_02_T1,9,9/10/90,2,6.516297317,3.308245642,0.231577195,9.18275115,0.275482535,0.360267374,3443.989126,34.43989126,1,ok,0.362658128,0.524886878
Allalin,394,RGI2000-v7.0-G-11-01182,7.90949,46.0336,11: Central Europe,LT05_L2SP_195028_20060922_20200831_02_T1,9,9/22/06,12,2.775839275,7.222365265,0.505565569,9.606139621,0.288184189,0.751848875,3155.798313,31.55798313,1,ok,0.244629628,0.351085105
Allalin,394,RGI2000-v7.0-G-11-01182,7.90949,46.0336,11: Central Europe,LT05_L2SP_195028_19940804_20200913_02_T1,9,8/4/94,3,6.126124942,7.38435282,0.516904697,9.581004301,0.287430129,0.770728474,3116.13008,31.1613008,1,ok,0.227633368,0.194805195
Allalin,394,RGI2000-v7.0-G-11-01182,7.90949,46.0336,11: Central Europe,LT05_L2SP_194028_19850921_20200918_02_T1,9,9/21/85,6,3.800867811,5.49778608,0.384845026,9.481373568,0.284441207,0.579851225,3275.88606,32.7588606,1,ok,0.416666853,0.652173913
Allalin,394,RGI2000-v7.0-G-11-01182,7.90949,46.0336,11: Central Europe,LT05_L2SP_195028_19860814_20200918_02_T1,9,8/14/86,14,28.91223319,5.905805535,0.413406387,7.93854381,0.238156314,0.743940662,3251.792441,32.51792441,1,ok,0.249974525,0.372173051
Allalin,394,RGI2000-v7.0-G-11-01182,7.90949,46.0336,11: Central Europe,LT05_L2SP_194028_20051030_20200901_02_T1,9,10/30/05,6,3.047129654,5.652593257,0.395681528,9.058384707,0.271751541,0.624017796,3235.974072,32.35974072,1,ok,0.365823662,0.90200747
Allalin,394,RGI2000-v7.0-G-11-01182,7.90949,46.0336,11: Central Europe,LC08_L2SP_194028_20190903_20200826_02_T1,9,9/3/19,8.2,14.37814786,3.566279421,0.249639559,8.039941166,0.241198235,0.443570338,3420.202305,34.20202305,1,ok,0.44655916,0.688280894
Allalin,394,RGI2000-v7.0-G-11-01182,7.90949,46.0336,11: Central Europe,LC08_L2SP_195028_20161003_20200906_02_T1,9,10/3/16,4.56,8.570229471,6.044293697,0.423100559,8.874177473,0.266225324,0.681110302,3228.080973,32.28080973,1,ok,0.311331467,0.646482586
Allalin,394,RGI2000-v7.0-G-11-01182,7.90949,46.0336,11: Central Europe,LT05_L2SP_194028_19890916_20200916_02_T1,9,9/16/89,8,2.264778164,4.883902553,0.341873179,9.729766532,0.291892996,0.501954753,3323.964709,33.23964709,1,ok,0.486237586,0.942956958
Allalin,394,RGI2000-v7.0-G-11-01182,7.90949,46.0336,11: Central Europe,LT05_L2SP_195028_19920915_20200914_02_T1,9,9/15/92,4,6.348042616,5.410147869,0.378710351,9.402711749,0.282081352,0.575381657,3275.88606,32.7588606,1,ok,0.421231673,0.674633596
